日時,プロダクト名,問題,X座標,Y座標
20250527095037,シャア専用ザク,汚れ,167,28
20250527095037,シャア専用ザク,汚れ,167,31
20250527095037,シャア専用ザク,汚れ,174,29
20250527095037,シャア専用ザク,汚れ,175,32
20250527095037,シャア専用ザク,汚れ,183,32
20250527095037,シャア専用ザク,汚れ,193,32
20250527095037,シャア専用ザク,汚れ,197,28
20250527095037,シャア専用ザク,汚れ,203,28
20250527095037,シャア専用ザク,汚れ,192,60
20250527095037,シャア専用ザク,汚れ,177,143
20250527095037,シャア専用ザク,汚れ,185,133
20250527095037,シャア専用ザク,汚れ,178,140
20250527095037,シャア専用ザク,汚れ,171,138
20250527095037,シャア専用ザク,汚れ,167,142
20250527095037,シャア専用ザク,汚れ,198,140
20250527095037,シャア専用ザク,汚れ,201,133
20250527095037,シャア専用ザク,汚れ,200,139
20250527095037,シャア専用ザク,汚れ,200,135
20250527095037,シャア専用ザク,汚れ,233,140
20250527095037,シャア専用ザク,汚れ,237,139
20250527095037,シャア専用ザク,汚れ,236,141
